CODE,INITIATIVE,PRODUCT,PRODUCT_FAMILY,PRODUCT_INDUSTRY
TRUCOM,N/A,TruComp,Inventor,D&M
TRULSR,N/A,TruLaser,TruLaser,D&M
TRUNEST,N/A,TruNest,Trunest Products,D&M
TRUPLN,N/A,TruPlan,TruPlan,D&M
TSPRHN,N/A,T-Splines Plug-in for Rhino,Alias,D&M
UTLDESN,N/A,tredence_analytics Utility Design,AutoCAD,AEC
VEHTRK,N/A,Vehicle Tracking,Vehicle Tracking,AEC
VLCTY,N/A,Velocity,InfraWorks,AEC
VLTEAD,N/A,Ent Add-on for Vault,Vault,D&M
VLTM,N/A,tredence_analytics Vault Manufacturing,Vault,D&M
VLTWG,N/A,tredence_analytics Vault Workgroup,Vault,D&M
VPLME,N/A,Vault PLM - Enterprise,Vault PLM,D&M
VPLMP,N/A,Vault PLM - Professional,Vault PLM,D&M
VRDDES,N/A,VRED Design,VRED,D&M
VRDPRO,N/A,VRED Professional,VRED,D&M
VRDPRS,N/A,VRED Presenter,VRED,AEC
VRDSRV,N/A,VRED Core,VRED,D&M
VRNCBL,N/A,VRED Rndr Node - cnsmp-bsd lic,VRED,D&M
WTHNMDC,N/A,Within Medical,tredence_analytics Within Medical,Other
360EWS,N/A,A360,BIM Family,AEC
3DS MAX,N/A,3ds Max,3ds Max,M&E
3DS-MAX,N/A,3ds Max,3ds Max,M&E
A360,N/A,A360,BIM Family,AEC
AAA,N/A,Entertainment Creation Suite Ultimate,M&E Collection,M&E
AAUTOCAD-LT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
ACADWEB,N/A,AutoCAD Web,AutoCAD,AutoCAD Family
ACD/MCH,N/A,AutoCAD Mechanical,AutoCAD,AutoCAD Family
ACDLTF,N/A,tredence_analytics AutoCAD LT French Edition,AutoCAD LT,AutoCAD Family
ACPLH,N/A,ArtCAM Premium,ArtCAM,D&M
ACSLH,N/A,ArtCAM Standard - license holder,ArtCAM,D&M
ADVANCE-CONCRETE,N/A,Advance Concrete,Advance Concrete,AEC
ADVANCE-STEEL,N/A,Advance Steel,Advance Steel,AEC
AEC EXCELLENCE AWARDS,AEC Excellence Awards,N/A,N/A,AEC
AEC-COLLECTION,N/A,Architecture Engineering Construction Collection,AEC Collection,AEC
ALIAS,N/A,Alias Family,Alias,D&M
ALIAS-PRODUCTS,N/A,Alias Family,Alias,D&M
ALL,All Products,N/A,N/A,N/A
ALL-PRODUCTS,All Products,N/A,N/A,N/A
AMECH PP,N/A,AutoCAD Mechanical,AutoCAD,AutoCAD Family
ARCHITECTURE-ENGINEERING-CONSTRUCTION,N/A,Architecture Engineering Construction Collection,AEC Collection,AEC
ARNOLD,N/A,Arnold,Arnold,M&E
ARTCAM,N/A,ArtCAM Standard,ArtCAM,D&M
ARTCE,N/A,ArtCAM Premium,ArtCAM,D&M
ASK,N/A,AutoSketch,AutoSketch,Other
AU-ONLINE,tredence_analytics University,tredence_analytics University Las Vegas Pass,tredence_analytics University,B&I
AULVPASS,tredence_analytics University,tredence_analytics University Las Vegas Pass,tredence_analytics University,B&I
AUREG,tredence_analytics University,tredence_analytics University Registration,tredence_analytics University,B&I
AUTOCAD,N/A,AutoCAD,AutoCAD,AutoCAD Family
AUTOCAD LT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
AUTOCAD-360,N/A,AutoCAD,AutoCAD,AutoCAD Family
AUTOCAD-ARCHITECTURE,N/A,AutoCAD Architecture,AutoCAD,AutoCAD Family
AUTOCAD-CIVIL-3D,N/A,AutoCAD Civil 3D,AutoCAD,AutoCAD Family
AUTOCAD-ELECTRICAL,N/A,AutoCAD Electrical,AutoCAD,AutoCAD Family
AUTOCAD-LT,N/A,AutoCAD LT,AutoCAD LT,AutoCAD Family
AUTOCAD-LT-CALS-TOOLS,N/A,AutoCAD LT with CALS Tools,AutoCAD LT,AutoCAD Family
AUTOCAD-LT-CALSTOOLS,N/A,AutoCAD LT with CALS Tools,AutoCAD LT,AutoCAD Family
AUTOCAD-MAP-3D,N/A,AutoCAD Map 3D,AutoCAD,AutoCAD Family
AUTOCAD-MECHANICAL,N/A,AutoCAD Mechanical,AutoCAD,AutoCAD Family
AUTOCAD-MEP,N/A,AutoCAD MEP,AutoCAD,AutoCAD Family
AUTOCAD-MOBILE,N/A,AutoCAD Mobile App,AutoCAD,AutoCAD Family
AUTOCAD-P-ID,N/A,AutoCAD - Including Specialized Toolsets,AutoCAD,AutoCAD Family
